cpu_usage;memory_usage;
4.3;5.7;
5.2;5.8;
5.2;5.9;
4.1;5.8;
3.4;5.9;
5.0;5.9;
3.3;5.9;
3.8;5.9;
4.1;5.9;
3.3;5.9;
4.5;5.9;
3.6;5.9;
4.3;5.9;
3.5;5.9;
3.7;5.9;
4.0;5.9;
2.8;5.9;
3.6;5.9;
3.0;5.9;
3.6;5.9;
4.4;5.9;
3.0;5.9;
2.8;5.9;
2.8;5.9;
2.0;5.9;
3.1;5.9;
4.1;5.9;
4.2;5.9;
3.2;6.0;
3.3;6.0;
2.8;6.0;
3.6;6.0;
2.8;6.0;
3.6;6.0;
4.1;6.0;
2.9;6.0;
3.6;6.0;
2.8;6.0;
3.2;6.0;
2.1;6.0;
3.6;6.0;
3.1;6.0;
3.4;6.0;
2.8;6.0;
3.9;6.0;
2.8;6.0;
2.8;6.0;
2.8;6.0;
2.8;6.0;
4.4;6.0;
3.7;6.0;
3.7;6.0;
3.1;6.0;
3.6;6.0;
2.6;6.0;
2.5;6.0;
3.4;6.0;
3.4;6.0;
4.6;6.0;
3.0;6.0;
3.2;6.0;
3.2;6.0;
3.1;6.0;
2.9;6.0;
3.3;6.0;
2.4;6.0;
3.6;6.0;
3.5;6.0;
4.4;6.0;
2.6;6.0;
3.9;6.0;
3.0;6.0;
3.4;6.0;
3.6;6.0;
2.7;6.0;
3.0;6.0;
3.1;6.0;
3.4;6.0;
2.2;6.0;
3.5;6.0;
2.7;6.0;
2.9;6.0;
2.9;6.0;
3.0;6.0;
2.6;6.0;
3.1;6.0;
2.7;6.0;
2.6;6.0;
2.5;6.0;
2.7;6.0;
3.5;6.0;
3.8;6.0;
3.5;6.0;
2.5;6.0;
2.7;6.0;
2.6;6.0;
2.8;6.0;
2.4;6.0;
3.3;6.0;
3.2;6.0;
4.3;5.7;
